symbol
LATENTVIEW
MRPL
CENTURYPLY
POWERGRID
GODREJAGRO
TMPV
ANANTRAJ
SUNDARMFIN
PREMIERENE
GMRAIRPORT
WAAREEENER
POWERINDIA
HINDPETRO
HINDZINC
LODHA
HSCL
ADANIPORTS
BPCL
INDIACEM
PGEL
BSE
ADANIGREEN
GLAND
BHARATFORG
TATACONSUM
CANBK
ADANIENSOL
UPL
NUVOCO
JKTYRE
CAMPUS
SIEMENS
HONAUT
FIRSTCRY
KARURVYSYA
HDFCAMC
SOBHA
ECLERX
TORNTPOWER
AKZOINDIA
NATIONALUM
AIIL
IIFL
LT
RELIANCE
AWL
PETRONET
SUPREMEIND
RAMCOCEM
M&M
NAVA
DLF
AMBUJACEM
CRISIL
GESHIP
ASIANPAINT
MOTILALOFS
NESTLEIND
KIRLOSBROS
GODREJPROP
ANGELONE
ADANIENT
CHENNPETRO
DALBHARAT
POLYCAB
VENTIVE
BEL
SRF
SWANCORP
IKS
NUVAMA
INDGN
INDIGO
ITC
BRITANNIA
CAMS
IOC
UNOMINDA
KSB
MAHSEAMLES
ABSLAMC
ULTRACEMCO
NIVABUPA
BEML
ASHOKLEY
SCHAEFFLER
EIHOTEL
HINDALCO
DATAPATTNS
LAURUSLABS
HEROMOTOCO
VOLTAS
ICICIBANK
SHREECEM
TVSMOTOR
BLUESTARCO
PCBL
SARDAEN
KEI
DMART
SAMMAANCAP
JSWENERGY
HOMEFIRST
DEEPAKNTR
SBILIFE
BHEL
SONACOMS
ITCHOTELS
INDUSTOWER
SUNPHARMA
GRASIM
TATASTEEL
WELCORP
EICHERMOT
CASTROLIND
NSLNISP
MAHABANK
NTPC
CGPOWER
OBEROIRLTY
MCX
ABLBL
ETERNAL
KPITTECH
PVRINOX
EIDPARRY
ACC
ELECON
EMAMILTD
HCLTECH
JINDALSTEL
AEGISLOG
PPLPHARMA
MFSL
BOSCHLTD
BAJAJFINSV
COLPAL
BERGEPAINT
BBTC
UNITDSPR
DIXON
SUZLON
MOTHERSON
APLAPOLLO
MRF
DOMS
JWL
SBIN
RBLBANK
BAJAJHLDNG
GPIL
NATCOPHARM
WHIRLPOOL
AARTIIND
CRAFTSMAN
ASTRAZEN
ZENSARTECH
CGCL
REDINGTON
ACE
BHARTIARTL
CUMMINSIND
ADANIPOWER
MANAPPURAM
HYUNDAI
KFINTECH
KAJARIACER
RAINBOW
HDFCBANK
MARUTI
SAILIFE
TRIVENI
NMDC
IPCALAB
TATATECH
HDFCLIFE
CCL
WIPRO
TATAPOWER
JINDALSAW
COFORGE
GODIGIT
DELHIVERY
IDBI
MEDANTA
MSUMI
LLOYDSME
ABBOTINDIA
THELEELA
DBREALTY
TECHM
EXIDEIND
CEATLTD
INOXINDIA
HINDUNILVR
DRREDDY
GODREJCP
GUJGASLTD
DCMSHRIRAM
NBCC
PAGEIND
JSWSTEEL
JBMA
VGUARD
ALOKINDS
KOTAKBANK
ALKYLAMINE
BAYERCROP
MARICO
JSWCEMENT
SCI
JKCEMENT
GVT&D
FORCEMOT
NCC
RADICO
ESCORTS
GRSE
JSWINFRA
NHPC
INDUSINDBK
PAYTM
PNB
HEG
VEDL
PERSISTENT
SUNTV
OLECTRA
IRB
CHOLAFIN
PFIZER
JIOFIN
GRAPHITE
BAJAJ-AUTO
NAVINFLUOR
JUBLFOOD
MGL
COALINDIA
HBLENGINE
VTL
RITES
MINDACORP
CONCOR
GILLETTE
SBFC
HINDCOPPER
INDIAMART
PFC
BANKINDIA
TATAELXSI
ENGINERSIN
UTIAMC
ABB
ICICIGI
SBICARD
GODREJIND
YESBANK
TRITURBINE
JSL
IRCTC
TECHNOE
MAZDOCK
FORTIS
ATUL
ATGL
ZFCVINDIA
IOB
UBL
BAJFINANCE
DABUR
ZYDUSLIFE
KIRLOSENG
LICI
BLUEDART
IRFC
OFSS
UNIONBANK
CDSL
APOLLOHOSP
AUROPHARMA
CANFINHOME
SYNGENE
COROMANDEL
360ONE
GRAVITA
BALRAMCHIN
PIIND
AFCONS
KIMS
RECLTD
IGIL
FLUOROCHEM
ONGC
BIOCON
PNBHOUSING
HONASA
FINPIPE
AMBER
JBCHEPHARM
CENTRALBK
MANYAVAR
POONAWALLA
TITAGARH
ICICIPRULI
AADHARHFC
GSPL
BANKBARODA
BRIGADE
METROPOLIS
MAHSCOOTER
3MINDIA
TIMKEN
PATANJALI
LEMONTREE
SONATSOFTW
CERA
RAILTEL
TORNTPHARM
JPPOWER
NLCINDIA
ITI
CHALET
VBL
AJANTPHARM
LINDEINDIA
ENDURANCE
CLEAN
GRANULES
TCS
STARHEALTH
PHOENIXLTD
BALKRISIND
PGHH
MUTHOOTFIN
ARE&M
TRENT
SIGNATURE
AKUMS
PIDILITIND
BAJAJHFL
BASF
BANDHANBNK
INDHOTEL
JUBLINGREA
CESC
SUMICHEM
LUPIN
BSOFT
AGARWALEYE
ERIS
ABCAPITAL
SOLARINDS
ZENTEC
TITAN
IGL
CUB
BIKAJI
OLAELEC
J&KBANK
PTCIL
MANKIND
FINCABLES
ASTRAL
CYIENT
BATAINDIA
SUNDRMFAST
AFFLE
APTUS
CHOICEIN
MPHASIS
AIAENG
AAVAS
CHAMBLFERT
TRIDENT
EMCURE
CROMPTON
HAVELLS
APLLTD
LTIM
TATAINVEST
NAM-INDIA
HEXT
INOXWIND
SAIL
FEDERALBNK
CAPLIPOINT
SAGILITY
APOLLOTYRE
IRCON
ASAHIINDIA
COHANCE
IDFCFIRSTB
FSL
GLAXO
RCF
SCHNEIDER
DIVISLAB
HFCL
APARINDS
LALPATHLAB
GAIL
SHYAMMETL
TIINDIA
NTPCGREEN
GICRE
AUBANK
ALKEM
UCOBANK
INFY
THERMAX
